year,month,passengers
1949,January,0.272317886352539
1949,February,0.27676585316658
1949,March,0.287591278553009
1949,April,0.305090725421906
1949,May,0.345814764499664
1949,June,0.362486511468887
1949,July,0.416346788406372
1949,August,0.628119289875031
1949,September,0.560621678829193
1949,October,0.557081818580627
1949,November,0.592146337032318
1949,December,0.555845320224762
1950,January,0.555676460266113
1950,February,0.526154041290283
1950,March,0.514914810657501
1950,April,0.501049101352692
1950,May,0.492039710283279
1950,June,0.454153269529343
1950,July,0.431289523839951
1950,August,0.40814945101738
1950,September,0.374870270490646
1950,October,0.362461268901825
1950,November,0.351706743240356
1950,December,0.352013200521469
1951,January,0.34789451956749
1951,February,0.341188997030258
1951,March,0.336674481630325
1951,April,0.335280835628509
1951,May,0.334552198648453
1951,June,0.335125148296356
1951,July,0.339998990297317
1951,August,0.344717770814896
1951,September,0.383844316005707
1951,October,0.445737451314926
1951,November,0.435501933097839
1951,December,0.437609195709229
1952,January,0.501448154449463
1952,February,0.537800192832947
1952,March,0.567177414894104
1952,April,0.546399593353272
1952,May,0.559367597103119
1952,June,0.544546604156494
1952,July,0.521749913692474
1952,August,0.147221699357033
1952,September,0.077273525297642
1952,October,0.002001798711717
1952,November,0.064946353435516
1952,December,0.065365739166737
1953,January,0.084559291601181
1953,February,0.213282614946365
1953,March,0.261065393686295
1953,April,0.419654369354248
1953,May,0.551835477352142
1953,June,0.554765403270721
1953,July,0.564514338970184
1953,August,0.550016582012177
1953,September,0.548184931278229
1953,October,0.546427428722382
1953,November,0.54554408788681
1953,December,0.546379089355469
1954,January,0.549770176410675
1954,February,0.542311072349548
1954,March,0.540958106517792
1954,April,0.493141651153564
1954,May,0.265169054269791
1954,June,0.202421426773071
1954,July,0.178890734910965
1954,August,0.167006239295006
1954,September,0.167939066886902
1954,October,0.18229179084301
1954,November,0.199956372380257
1954,December,0.241761893033981
1955,January,0.316557854413986
1955,February,0.383189678192139
1955,March,0.556467711925507
1955,April,0.600447952747345
1955,May,0.571359753608704
1955,June,0.565914332866669
1955,July,0.564740836620331
1955,August,0.562139987945557
1955,September,0.560980975627899
1955,October,0.558806955814362
1955,November,0.569495022296906
1955,December,0.562195241451263
1956,January,0.553758919239044
1956,February,0.546119928359985
1956,March,0.63522207736969
1956,April,0.622495591640472
1956,May,0.624512016773224
1956,June,0.63554710149765
1956,July,0.617961943149567
1956,August,0.587361395359039
1956,September,0.597554326057434
1956,October,0.533385574817658
1956,November,0.465627044439316
1956,December,0.456783205270767
1957,January,0.276533931493759
1957,February,0.288500249385834
1957,March,0.302981376647949
1957,April,0.455408751964569
1957,May,0.637461483478546
1957,June,0.582166194915772
1957,July,0.575808584690094
1957,August,0.573849976062775
1957,September,0.572513401508331
1957,October,0.566690802574158
1957,November,0.564238488674164
1957,December,0.550123870372772
1958,January,0.533277869224548
1958,February,0.515518069267273
1958,March,0.476554363965988
1958,April,0.433546274900436
1958,May,0.302549868822098
1958,June,0.246074572205544
1958,July,0.18981097638607
1958,August,0.157617449760437
1958,September,0.141421288251877
1958,October,0.13842311501503
1958,November,0.140852764248848
1958,December,0.143285721540451
1959,January,0.143171072006226
1959,February,0.141972690820694
1959,March,0.166077107191086
1959,April,0.183260634541512
1959,May,0.217464193701744
1959,June,0.251245141029358
1959,July,0.330930709838867
1959,August,0.552586376667023
1959,September,0.549437522888184
1959,October,0.567655444145203
1959,November,0.573045492172241
1959,December,0.571884632110596
1960,January,0.570615530014038
1960,February,0.567162096500397
1960,March,0.562458574771881
1960,April,0.562959790229797
1960,May,0.55823016166687
1960,June,0.55022543668747
1960,July,0.521188020706177
1960,August,0.492427527904511
1960,September,0.467564195394516
1960,October,0.431394934654236
1960,November,0.413765072822571
1960,December,0.364742398262024
