8_x,8_y,8_z
-1.3483366,-3.0039263,-0.2444026
-1.2857151,-2.603242,0.14542285
-1.2099332,-2.6685276,0.33727065
-0.41225764,-1.4199883,0.40601197
0.5404518,0.9753326,-0.19717489
0.25108323,0.72774327,0.10983063
0.2178129,0.7556037,-0.009720559
0.20756319,0.66136295,-0.11619577
0.2005687,0.49969473,-0.2819411
0.17009816,0.35848188,0.0047180406
0.15726483,0.16189162,0.17998897
0.0834009,-0.13069612,0.02531041
-0.004756775,-0.54625237,-0.4329133
-0.09769649,-0.8119938,-0.2925009
-0.30159944,-1.1123048,0.060855016
-0.5266673,-1.5307015,-0.38544112
-1.2121913,-2.9594746,-0.020973027
-1.507735,-2.1785254,-0.062000584
-1.802171,-2.1947327,0.0376868
-1.9706446,-2.0805984,0.504745
-2.0554016,-1.9869725,0.7213918
-2.0710914,-1.7212791,0.7871379
-2.0583768,-1.6546086,0.95329964
-2.0456448,-1.667927,0.9232171
-2.0462446,-1.7619762,1.0500044
-2.052516,-2.021018,0.7586573
-1.9263738,-1.9818593,0.7588055
-1.8364499,-2.2368786,0.3255127
-1.6574575,-2.1158721,0.41352537
-1.4806767,-2.3402178,0.61686367
-1.06367,-2.6628754,-0.7085074
0.09628756,-1.0986865,0.45307523
0.07980914,-1.2383417,-0.1377367
0.17514627,-0.95962137,0.345093
0.20335321,-0.678051,0.4648512
0.19727825,-0.5367297,0.3526237
0.19727825,-0.5367297,0.3526237
0.47345474,-0.23889384,0.6357379
0.6688023,-0.1325888,0.6138667
0.7167349,-0.18739177,0.56656593
0.60209674,-0.36021188,0.5385296
0.3492151,-0.61926985,0.51800644
0.041832753,-0.9229186,0.5050581
-0.22471258,-1.2250949,0.49047184
-0.416718,-1.4965646,0.44217417
-0.5237499,-1.7084057,0.3725005
-0.53143775,-1.8372184,0.33034936
-0.44255492,-1.8597255,0.3336802
